,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.08
1,20,0.0,199,4000,0.09
2,20,0.0,299,6000,0.15
3,20,0.0,399,8000,0.28
4,20,-1.0,499,10000,0.36
5,20,-1.0,599,12000,0.41
6,20,0.0,699,14000,0.37
7,20,-2.0,799,16000,0.44
8,20,1.0,899,18000,0.56
9,20,0.0,999,20000,0.76
10,20,0.0,1099,22000,0.63
11,20,2.0,1199,24000,0.81
12,20,0.0,1299,26000,0.76
13,20,1.0,1399,28000,0.75
14,20,0.0,1499,30000,0.84
15,20,1.0,1599,32000,0.68
16,20,2.0,1699,34000,0.94
17,20,0.0,1799,36000,0.84
18,20,2.0,1899,38000,0.91
19,20,0.0,1999,40000,0.91
20,20,1.0,2099,42000,0.92
21,20,2.0,2199,44000,1.1
22,20,1.0,2299,46000,0.96
23,20,2.0,2399,48000,1.09
24,20,3.0,2499,50000,1.0
25,20,1.0,2599,52000,1.18
26,20,2.0,2699,54000,1.19
27,20,1.0,2799,56000,0.93
28,20,2.0,2899,58000,1.05
29,20,3.0,2999,60000,1.14
30,20,1.0,3099,62000,1.26
31,20,2.0,3199,64000,1.17
32,20,2.0,3299,66000,1.27
33,20,2.0,3399,68000,1.17
34,20,2.0,3499,70000,1.38
35,20,2.0,3599,72000,1.22
36,20,2.0,3699,74000,1.32
37,20,1.0,3799,76000,1.16
38,20,1.0,3899,78000,1.24
39,20,3.0,3999,80000,1.38
40,20,0.0,4099,82000,1.33
41,20,2.0,4199,84000,1.21
42,20,1.0,4299,86000,1.19
43,20,3.0,4399,88000,1.3
44,20,2.0,4499,90000,1.31
45,20,1.0,4599,92000,1.35
46,20,1.0,4699,94000,1.38
47,20,-1.0,4799,96000,1.28
48,20,2.0,4899,98000,1.51
49,20,0.0,4999,100000,1.19
