,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.22
1,20,0.0,199,4000,0.07
2,20,-1.0,299,6000,0.12
3,20,0.0,399,8000,0.26
4,20,0.0,499,10000,0.25
5,20,0.0,599,12000,0.2
6,20,0.0,699,14000,0.22
7,20,-2.0,799,16000,0.22
8,20,0.0,899,18000,0.34
9,20,0.0,999,20000,0.43
10,20,1.0,1099,22000,0.16
11,20,1.0,1199,24000,0.55
12,20,-1.0,1299,26000,0.62
13,20,1.0,1399,28000,0.72
14,20,1.0,1499,30000,0.83
15,20,0.0,1599,32000,0.43
16,20,-1.0,1699,34000,0.98
17,20,-1.0,1799,36000,0.96
18,20,1.0,1899,38000,0.71
19,20,1.0,1999,40000,0.76
20,20,2.0,2099,42000,0.66
21,20,0.0,2199,44000,0.75
22,20,2.0,2299,46000,0.92
23,20,1.0,2399,48000,0.81
24,20,1.0,2499,50000,1.0
25,20,0.0,2599,52000,0.6
26,20,3.0,2699,54000,0.93
27,20,2.0,2799,56000,0.93
28,20,3.0,2899,58000,0.83
29,20,0.0,2999,60000,0.85
30,20,0.0,3099,62000,0.84
31,20,3.0,3199,64000,0.94
32,20,1.0,3299,66000,1.06
33,20,1.0,3399,68000,1.41
34,20,1.0,3499,70000,0.94
35,20,1.0,3599,72000,0.93
36,20,1.0,3699,74000,1.03
37,20,2.0,3799,76000,0.96
38,20,0.0,3899,78000,1.01
39,20,1.0,3999,80000,0.81
40,20,2.0,4099,82000,1.23
41,20,2.0,4199,84000,1.12
42,20,0.0,4299,86000,1.01
43,20,1.0,4399,88000,1.24
44,20,0.0,4499,90000,1.27
45,20,2.0,4599,92000,1.24
46,20,2.0,4699,94000,1.05
47,20,3.0,4799,96000,1.15
48,20,1.0,4899,98000,1.24
49,20,1.0,4999,100000,1.33
